time,CO2air,CO2top
0,788.2208582320092,788.2208582320092
1,640.4631101599324,661.4476886674498
2,547.7769409748894,561.4973800583776
3,487.245800504012,496.2067167684414
4,447.71264930711504,453.56402505632684
5,421.89309881433303,425.7150091678011
6,405.0302348929601,407.52657287282165
7,394.0170334342043,395.6474079074274
8,386.82425291282095,387.8889650202026
9,381.8166433694354,382.55638862181405
10,378.5498315631723,379.03366118615656
11,376.41352876051326,376.72987106326406
12,375.0164905268309,375.223361684094
13,374.1029008058742,374.23819591547965
14,373.82647843809576,373.8693289209307
15,373.63767071098425,373.6656212904301
16,373.5143527826836,373.53260776298913
17,373.75493345074386,373.7212687710592
18,373.9035683565001,373.88158123139846
19,374.00051278174504,373.9861691469272
20,374.0637458149744,374.0543912079087
21,374.10499067263964,374.0988899533016
22,374.1318933804798,374.1279145124294
23,374.1494410463827,374.14684665844527
24,374.1608868769748,374.159194918258
25,374.1683525791952,374.16724929534195
26,374.17322217608677,374.17250302890506
27,374.17639845695817,374.175929803782
28,374.178470231568,374.1781649941682
29,374.179821584671,374.17962289280365
30,374.18070302107975,374.1805738546374
31,374.18127795336795,374.18119410716565
32,374.62972182719795,374.56613127967904
33,375.2293173158371,375.14265981859523
34,375.6109636769073,375.5545821809926
35,375.8591250747017,375.8224601948399
36,376.0204922438445,375.99665363186597
37,376.4429889689467,376.3825137215657
38,376.7091783914713,376.66987295586114
39,376.8820406468876,376.85651585987216
40,376.99430033317503,376.9777264631645
41,377.0672042282944,377.05643981560144
42,377.1145489332521,377.1075598470354
43,377.1452955488964,377.1407576029483
44,377.16526295206063,377.1623168183773
45,377.17823014847863,377.17631793821096
46,377.8816694577502,377.7820987221991
47,378.3193049479469,378.25474312124516
48,378.6026953364153,378.5608874003036
49,378.78621421974293,378.7591413819438
50,378.59075323032,378.6177093722414
51,378.472113860604,378.4896291716723
52,378.3951926208439,378.4065499476578
53,378.34531542217275,378.3526808002105
54,378.3129742585766,378.3177507601881
55,378.292003641086,378.29510190136216
56,378.2784059298597,378.2804161721599
57,378.26958899191754,378.27089344753483
58,378.32685281391906,378.3187848081412
59,378.3623515971959,378.35711477182207
60,378.3853622422363,378.3819689029902
61,378.4002789341555,378.39808053568214
62,378.40994871565226,378.4085247400104
63,378.41621717628664,378.41529496799484
64,378.42028064632206,378.41968417743084
65,378.42291483436986,378.42252923814755
66,378.4246224339809,378.42437363090414
67,378.42572939119754,378.425569226238
68,378.80383136420966,378.75033294285817
69,379.03883689477334,379.00417265494445
70,379.19093732996976,379.1685022177047
71,378.6613823877557,378.7357986461073
72,378.3339374079304,378.38228869236053
73,378.12146355015193,378.1528405883315
74,377.98358512697365,378.00395090708605
75,378.20934343347136,378.17792213843836
76,378.3475312635171,378.32714006211415
77,378.43708342114843,378.42386817779834
78,378.4951206799288,378.48655571815203
79,378.5327333494099,378.5271847055193
80,378.5571097657258,378.5535143029104
81,378.25816428659795,378.3004192091834
82,378.0722872415189,378.0997430987054
83,377.9516744987967,377.9694921366079
84,377.87340686684456,377.88496797305
85,377.822617214558,377.83012041601944
86,377.7896588523822,377.7945292471616
87,377.83138368377314,377.82560613504864
88,377.85682595586866,377.8530726421204
89,377.87333053000134,377.8708965900879
90,377.5683850593247,377.61152986737613
91,377.3784355674583,377.4064900813779
92,377.25505238716454,377.27327541717506
93,378.1222010868848,378.0000813864172
94,378.65893641730423,378.57982683564336
95,379.0062310775824,378.9550466943317
96,379.2309590669601,379.19784599967375
97,379.3763770176831,379.3549535471104
98,379.15692291323285,379.187384419587
99,379.02280656330197,379.0425778205679
100,378.93591691858336,378.94872935135203
101,378.8796200616893,378.8879241079642
102,379.40800302210863,379.33356193953716
103,379.73502532235517,379.6868538115276
104,379.63348152005386,379.64656347948073
105,379.5758153808346,379.58431203954086
106,379.5384964377948,379.54399675269065
107,379.514341837413,379.5179035715405
108,379.4987080456781,379.5010138992322
109,379.48858906020064,379.4900826125826
110,379.48203957224274,379.48300763222704
111,379.4778004848017,379.4784282584308
112,379.47505670557246,379.47546468589053
113,379.1597390668311,379.2043035511683
114,378.963452105084,378.992363555046
115,379.1502223319917,379.1246148103908
116,379.5764561731485,379.5156169901844
117,379.8439153895437,379.80455458082304
118,380.01679828908283,379.9913519673726
119,380.12855176929344,380.112098592381
120,379.8882050163985,379.9217298722703
121,379.74068483515566,379.7624010705591
122,379.64520625697367,379.6592658262756
123,379.5834087270642,379.5925116835436
124,379.5434112100388,379.54930229204615
125,379.5175227565548,379.5213370813763
126,379.50076661439533,379.5032372183372
127,379.48992141800886,379.49152172226803
128,379.48290189843556,379.4839392338954
129,379.16482592799775,379.20977704355687
130,378.96674726849255,378.9959143137001
131,378.7126802818607,378.7493611772288
132,378.9283419465932,378.8988797535902
133,379.37195728408864,379.30862874525275
134,379.65072602915495,379.6097459003902
135,379.83096465408335,379.8044647345167
136,379.3212696197981,379.3925306690329
137,379.006959898936,379.0532181540335
138,378.80322372493134,378.8332086290586
139,378.6711557737063,378.6905734104122
140,378.5855394940473,378.5981413422518
141,378.53004292124047,378.53820576030313
142,378.49406670130793,378.49935975133036
143,378.5336678523574,378.5282277149936
144,378.809216662817,378.77024590248493
145,378.98115330997524,378.9559157702671
146,379.09246330785925,379.0761244237745
147,379.1645244037407,379.15395363106177
148,379.211177746859,379.2043337616499
149,379.2413806006651,379.2369515466201
150,378.6329148673921,378.71855035833073
151,378.3170597117981,378.3638302195095
152,378.110501286803,378.1408427056081
153,378.6062378000566,378.5372716950815
154,378.9109650543835,378.8662835871231
155,379.10818448389347,379.07926929574325
156,379.2358306805399,379.21711900484473
157,379.3184472316516,379.3063368092628
158,379.0582645299089,379.09454975540956
159,378.89768012513093,378.9212352826524
160,378.7936181207819,378.8088912968966
161,378.7261801614369,378.7360846072682
162,378.6824772426282,378.6888948416031
163,378.40250027587757,378.4421311003557
164,378.227323487374,378.2530568741587
165,378.1136834437999,378.13039198843194
166,378.03996374782247,378.05080322735665
167,377.9921390805275,377.9991720531205
168,377.9611135369516,377.9656775081412
169,378.2561306461486,378.21468179401614
170,378.43919224229074,378.4122931158637
171,378.55779047879673,378.54035743278985
172,378.63462950376106,378.6233357938941
173,378.9985849805078,378.9469667249859
174,379.2260237215654,379.1925960206818
175,379.37318694939,379.3515640597049
176,379.46841264263924,379.4544250430367
177,379.53003063645275,379.52098191610776
178,379.5699017053962,379.5640495417757
179,379.59570121098454,379.5919165572921
180,379.61239533986037,379.6099478303108
181,379.30986611038594,379.3524434497376
182,379.1218931731176,379.14952121335534
183,378.68596010019786,378.7481730989445
184,378.41121170726706,378.4516217639846
185,378.2329816463947,378.2591958386845
186,378.1173568075669,378.13436544814255
187,377.72692444042764,377.7824964684902
188,377.4814103239442,377.517540717885
189,377.3219377287175,377.34540159443486
190,377.85013698380754,377.7762885094293
191,378.176153362867,378.12822805419546
192,378.38736692684904,378.35630600983365
193,378.5242108523714,378.5040893659808
194,378.61287297878346,378.5998362394326
195,378.3557205855232,378.3916753292837
196,378.19697740025305,378.220333021629
197,378.0939998229031,378.1091552522928
198,378.0271948460683,378.0370277819021
199,377.9838559470954,377.99023541035314
200,377.6402009555268,377.6889012769841
201,377.4250778106733,377.456744671592
202,377.2853452268269,377.3059178848194
203,377.19457929581625,377.2079412115436
204,377.1356199015392,377.1442995168851
205,377.09732127510347,377.10296118230224
206,377.38874130583685,377.34775316285976
207,377.5696719019814,377.5430554378119
208,377.6870436635081,377.6697760234342
209,377.76318744481915,377.7519812757874
210,377.9387626937205,377.91368006012755
211,378.04936383599306,378.0330929113262
212,378.12107655626676,378.1105284483286
213,378.16757558881,378.16073724739107
214,378.1977257792501,378.19329286795664
215,378.2172753310132,378.21440185358614
216,378.2299512772132,378.2280895361521
217,378.2381704984089,378.23696422152176
218,378.2434998279048,378.2427189122604
219,378.24695541841515,378.24645012479107
220,378.5639428208373,378.5191992436061
221,378.7611296460758,378.7321324419287
222,378.5745062749793,378.60009332553204
223,378.4615762296397,378.4781997099523
224,378.388357243191,378.39913906537015
225,378.34088184448507,378.34787457905236
226,378.31009852917305,378.31463417504006
227,378.29013841596054,378.2930809912512
228,378.2771961560108,378.27910575961704
229,378.2688043937042,378.27004347666997
230,378.26336307062155,378.2641675289441
231,378.25983483706614,378.26035773901316
232,378.2575471245708,378.257887339956
233,378.25606376608556,378.2562854274389
234,378.25510192969386,378.25524679421767
235,378.2544782672732,378.25457332225847
236,378.2540738800293,378.2541366182399
237,378.25381167382517,378.25385344727704
238,378.253641657457,378.2536698401439
239,378.2535314156687,378.25355079063706
240,378.25345993580953,378.2534735981267
241,378.2534135867195,378.2534235461264
242,378.2533835317768,378.25339108910885
243,378.2533640460933,378.2533700476073
244,378.2533513782456,378.25335637394204
245,377.93818679044216,377.9827688248649
246,377.42585015267895,377.49953694081177
247,376.7842501663705,376.8770373332626
248,376.3747727061773,376.4352132205008
249,376.10824362385455,376.14758967692205
250,375.93475517405335,375.9603691957085
251,375.82182860296905,375.83850189029323
252,375.7483223010578,375.7591778400929
253,375.70047606895895,375.7075415112897
254,375.6693317112583,375.6739321929804
255,375.64905937515283,375.6520545449026
256,375.6358636858588,375.6378140990447
257,375.62727437459534,375.628544560975
258,375.6216834432823,375.6225106354869
259,375.2994037697565,375.3450806854378
260,375.09756375605593,375.1273722757241
261,374.9660203592912,374.98544530117937
262,374.88028549120196,374.8929463140178
263,374.8244072476596,374.8326595153274
264,374.46825074852484,374.5189479922762
265,374.2440627864667,374.2771835201295
